from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region3	Region1	Region3.Region1	0.01	0	0	NA	0.11	0.4031107785145017	0.98	0.0025223572575097477
Region4	Region1	Region4.Region1	2.01	0	5	NA	0.59	4.693425050952657	0.39	2.2507817385866162
Region5	Region1	Region5.Region1	0	0	0	NA	0.37	1.9155033097377407	0.36	1.0440917107583774
Region6	Region1	Region6.Region1	0	0	0	NA	0.49	3.1336294208587203	0.23	3.2165387894288147
Region1	Region3	Region1.Region3	1.65	0	3	NA	0.59	4.693425050952657	0.24	4.556910569105691
Region4	Region3	Region4.Region3	1.46	0	4	NA	0.57	4.3234270177675835	0.99	0.013389711064129678
Region5	Region3	Region5.Region3	0	0	0	NA	0.28	1.2683738132047204	0.39	0.6082621082621084
Region6	Region3	Region6.Region3	0	0	0	NA	0.23	0.9742240420533472	0.44	0.38016528925619836
Region1	Region4	Region1.Region4	2.82	0	5	2	0.91	32.97771914332274	0.2	40.44444444444446
Region3	Region4	Region3.Region4	4.42	4	6	4	0.99	322.8917335901156	0.99	1
Region5	Region4	Region5.Region4	0.01	0	0	NA	0.34	1.6801834928166426	0.31	1.1466275659824048
Region6	Region4	Region6.Region4	0	0	0	NA	0.24	1.029957682903081	0.28	0.8120300751879698
Region1	Region5	Region1.Region5	0.99	0	2	1	0.56	4.151041570488176	0.2	5.090909090909092
Region3	Region5	Region3.Region5	0	0	0	NA	0.07	0.2454917057815588	0.8	0.01881720430107527
Region4	Region5	Region4.Region5	1.01	0	2	NA	0.63	5.553420479436882	0.32	3.6182432432432425
Region6	Region5	Region6.Region5	0	0	0	NA	0.38	1.9990038899355498	0.26	1.7444168734491314
Region1	Region6	Region1.Region6	0	0	0	NA	0.16	0.6212443166716998	0.18	0.8677248677248679
Region3	Region6	Region3.Region6	0	0	0	NA	0.09	0.3225691644256902	0.78	0.027895181741335585
Region4	Region6	Region4.Region6	1	1	1	1	0.93	43.33179108785108	0.37	22.62162162162164
Region5	Region6	Region5.Region6	0	0	0	NA	0.26	1.1459439084552299	0.15	1.990990990990991
