from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	0.07	0	0	2	0.19	1.0014860446507576	0.06	3.674897119341564
Region3	Region1	Region3.Region1	4.33	0	6	NA	0.87	28.57276176782951	0.94	0.4271685761047467
Region4	Region1	Region4.Region1	0.02	0	0	NA	0.09	0.4222575630713721	0.19	0.421631000578369
Region5	Region1	Region5.Region1	0	0	0	NA	0.14	0.6950337666058503	0.23	0.544994944388271
Region6	Region1	Region6.Region1	0.99	1	1	1	0.99	422.6798206344431	0.21	372.42857142857116
Region1	Region2	Region1.Region2	0.36	0	3	4	0.28	1.660358442447309	0.08	4.472222222222223
Region3	Region2	Region3.Region2	2.46	0	3	2	0.83	20.845172378288055	0.85	0.86159169550173
Region4	Region2	Region4.Region2	0.08	0	1	NA	0.18	0.9372058107193868	0.2	0.8780487804878048
Region5	Region2	Region5.Region2	0	0	0	NA	0.15	0.7534399654802915	0.13	1.1809954751131222
Region6	Region2	Region6.Region2	0	0	0	NA	0.08	0.37126027284536095	0.19	0.3707093821510298
Region1	Region3	Region1.Region3	0.98	0	8	3	0.27	1.5791275988833506	0.09	3.739726027397261
Region2	Region3	Region2.Region3	0.28	0	2	6	0.24	1.3482609908594687	0.07	4.1954887218045105
Region4	Region3	Region4.Region3	2.19	2	3	2	0.99	422.6798206344431	0.99	1
Region5	Region3	Region5.Region3	0	0	0	NA	0.09	0.4222575630713721	0.29	0.24213717317165592
Region6	Region3	Region6.Region3	0	0	0	NA	0.1	0.47438812641351685	0.31	0.24731182795698922
Region1	Region4	Region1.Region4	0.61	0	4	2	0.38	2.616786116668109	0.09	6.197132616487456
Region2	Region4	Region2.Region4	0.23	0	2	4	0.39	2.729675940510564	0.05	12.147540983606557
Region3	Region4	Region3.Region4	14.72	12	17	8	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	0.2	0	1	3	0.28	1.660358442447309	0.24	1.2314814814814818
Region6	Region4	Region6.Region4	0.99	1	1	1	0.99	422.6798206344431	0.23	331.4347826086954
Region1	Region5	Region1.Region5	0.18	0	1	1	0.33	2.102884679773351	0.05	9.358208955223882
Region2	Region5	Region2.Region5	0	0	0	1	0.14	0.6950337666058503	0.1	1.4651162790697674
Region3	Region5	Region3.Region5	0.02	0	0	NA	0.04	0.17789554740506883	0.92	0.0036231884057970998
Region4	Region5	Region4.Region5	3.37	2	5	2	0.99	422.6798206344431	0.26	281.7692307692305
Region6	Region5	Region6.Region5	0.01	0	0	NA	0.12	0.5822036096893161	0.14	0.8376623376623376
Region1	Region6	Region1.Region6	0.01	0	0	NA	0.16	0.8132367881374575	0.07	2.530612244897959
Region2	Region6	Region2.Region6	0	0	0	NA	0.19	1.0014860446507576	0.04	5.629629629629629
Region3	Region6	Region3.Region6	0	0	0	NA	0.05	0.22471016514324482	0.9	0.005847953216374269
Region4	Region6	Region4.Region6	0.14	0	1	NA	0.15	0.7534399654802915	0.19	0.7523219814241487
Region5	Region6	Region5.Region6	0.91	0	1	1	0.91	43.16931950363004	0.21	38.03703703703705
