from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region3	Region1	Region3.Region1	0.73	0	1	NA	0.73	8.818217939423292	0.7	1.1587301587301586
Region4	Region1	Region4.Region1	0.01	0	0	NA	0.23	0.9742240420533472	0.42	0.4124922696351268
Region5	Region1	Region5.Region1	0.01	0	0	NA	0.27	1.2063202998385403	0.31	0.8232434821034026
Region6	Region1	Region6.Region1	0	0	0	NA	0.47	2.8923025497875825	0.22	3.144082332761578
Region1	Region3	Region1.Region3	0.31	0	2	4	0.39	2.085242194074271	0.23	2.1404133998574486
Region4	Region3	Region4.Region3	0.03	0	0	NA	0.14	0.5309471776205805	0.99	0.0016443504815597855
Region5	Region3	Region5.Region3	0.01	0	0	NA	0.32	1.5348389000124347	0.27	1.2723311546840959
Region6	Region3	Region6.Region3	0	0	0	NA	0.37	1.9155033097377407	0.34	1.1400560224089633
Region1	Region4	Region1.Region4	0	0	0	1	0.18	0.7159461942131172	0.15	1.24390243902439
Region3	Region4	Region3.Region4	5.01	5	5	4	0.99	322.8917335901156	0.99	1
Region5	Region4	Region5.Region4	0	0	0	NA	0.22	0.9199194689177091	0.29	0.6905393457117595
Region6	Region4	Region6.Region4	0	0	0	NA	0.17	0.6680247622042073	0.34	0.3975903614457831
Region1	Region5	Region1.Region5	0	0	0	NA	0.15	0.575564587504663	0.18	0.8039215686274511
Region3	Region5	Region3.Region5	0	0	0	NA	0.09	0.3225691644256902	0.68	0.04654169360051712
Region4	Region5	Region4.Region5	1.95	1	2	2	0.98	159.8151004637946	0.38	79.94736842105256
Region6	Region5	Region6.Region5	0.05	0	1	NA	0.28	1.2683738132047204	0.22	1.3787878787878791
Region1	Region6	Region1.Region6	0	0	0	NA	0.13	0.4873554553200403	0.16	0.7844827586206896
Region3	Region6	Region3.Region6	0	0	0	NA	0.06	0.2081829359059419	0.51	0.06132665832290362
Region4	Region6	Region4.Region6	0.46	0	1	NA	0.51	3.394656444670359	0.42	1.43731778425656
Region5	Region6	Region5.Region6	0.54	0	1	1	0.63	5.553420479436882	0.27	4.603603603603603
