from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	0	0	0	1	0.18	0.9372058107193868	0.06	3.4390243902439024
Region3	Region1	Region3.Region1	3	0	4	NA	0.92	49.09917108379902	0.92	1
Region4	Region1	Region4.Region1	0.04	0	0	NA	0.12	0.5822036096893161	0.18	0.6212121212121212
Region5	Region1	Region5.Region1	0	0	0	NA	0.32	2.0091732412807772	0.29	1.1521298174442192
Region6	Region1	Region6.Region1	0	0	0	NA	0.28	1.660358442447309	0.31	0.8655913978494624
Region1	Region2	Region1.Region2	0.09	0	1	3	0.26	1.5000921835238235	0.13	2.3513513513513513
Region3	Region2	Region3.Region2	0.91	0	1	2	0.83	20.845172378288055	0.36	8.6797385620915
Region4	Region2	Region4.Region2	0	0	0	NA	0.16	0.8132367881374575	0.5	0.1904761904761905
Region5	Region2	Region5.Region2	0	0	0	NA	0.21	1.1349285555968944	0.23	0.8899284534947716
Region6	Region2	Region6.Region2	0	0	0	NA	0.26	1.5000921835238235	0.2	1.4054054054054055
Region1	Region3	Region1.Region3	0.46	0	5	2	0.24	1.3482609908594687	0.08	3.631578947368421
Region2	Region3	Region2.Region3	0	0	0	9	0.31	1.9181780763676985	0.08	5.166666666666668
Region4	Region3	Region4.Region3	0	0	0	1	0.08	0.37126027284536095	0.99	8.783487044356616e-4
Region5	Region3	Region5.Region3	0	0	0	NA	0.31	1.9181780763676985	0.24	1.4227053140096622
Region6	Region3	Region6.Region3	0	0	0	NA	0.41	2.9669359092641976	0.29	1.7013442431326704
Region1	Region4	Region1.Region4	0.18	0	1	2	0.28	1.660358442447309	0.05	7.388888888888889
Region2	Region4	Region2.Region4	0	0	0	4	0.31	1.9181780763676985	0.08	5.166666666666668
Region3	Region4	Region3.Region4	11.4	10	13	6	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	0.07	0	1	1	0.31	1.9181780763676985	0.18	2.04669887278583
Region6	Region4	Region6.Region4	0	0	0	NA	0.16	0.8132367881374575	0.17	0.9299719887955182
Region1	Region5	Region1.Region5	0.11	0	1	1	0.29	1.7438774787877167	0.13	2.733477789815818
Region2	Region5	Region2.Region5	0	0	0	NA	0.18	0.9372058107193868	0.07	2.916376306620208
Region3	Region5	Region3.Region5	0.12	0	1	NA	0.15	0.7534399654802915	0.52	0.16289592760180993
Region4	Region5	Region4.Region5	0.77	0	1	NA	0.74	12.15163431505393	0.37	4.846153846153846
Region6	Region5	Region6.Region5	0	0	0	NA	0.22	1.2042160132035427	0.16	1.4807692307692306
Region1	Region6	Region1.Region6	0	0	0	NA	0.18	0.9372058107193868	0.07	2.916376306620208
Region2	Region6	Region2.Region6	0	0	0	NA	0.23	1.27530314503374	0.04	7.168831168831168
Region3	Region6	Region3.Region6	0	0	0	NA	0.05	0.22471016514324482	0.72	0.020467836257309944
Region4	Region6	Region4.Region6	1	1	1	1	0.98	209.20516374836072	0.34	95.11764705882342
Region5	Region6	Region5.Region6	0	0	0	NA	0.24	1.3482609908594687	0.12	2.3157894736842106
