from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	2.52	0	7	2	0.98	209.20516374836072	0.1	440.9999999999996
Region3	Region1	Region3.Region1	0.01	0	0	NA	0.03	0.1320461795171645	0.99	3.124023742580446e-4
Region4	Region1	Region4.Region1	0	0	0	NA	0.1	0.47438812641351685	0.31	0.24731182795698922
Region5	Region1	Region5.Region1	0	0	0	NA	0.14	0.6950337666058503	0.3	0.3798449612403101
Region6	Region1	Region6.Region1	0	0	0	NA	0.29	1.7438774787877167	0.25	1.2253521126760565
Region1	Region2	Region1.Region2	3.8	0	5	4	0.96	102.46783530531954	0.07	318.8571428571425
Region3	Region2	Region3.Region2	3.23	3	4	4	0.94	66.88872582430581	0.99	0.15824915824915822
Region4	Region2	Region4.Region2	1.82	0	3	NA	0.9	38.425438239494866	0.25	27.000000000000007
Region5	Region2	Region5.Region2	0.2	0	1	1	0.26	1.5000921835238235	0.24	1.1126126126126128
Region6	Region2	Region6.Region2	0	0	0	NA	0.24	1.3482609908594687	0.23	1.05720823798627
Region1	Region3	Region1.Region3	0.18	0	1	NA	0.21	1.1349285555968944	0.33	0.5397008055235902
Region2	Region3	Region2.Region3	4.14	2	5	6	0.99	422.6798206344431	0.25	296.9999999999998
Region4	Region3	Region4.Region3	1.06	1	2	1	0.73	11.543444409395574	0.99	0.02731013842124955
Region5	Region3	Region5.Region3	0	0	0	NA	0.15	0.7534399654802915	0.28	0.45378151260504196
Region6	Region3	Region6.Region3	0	0	0	NA	0.22	1.2042160132035427	0.26	0.8027613412228797
Region1	Region4	Region1.Region4	0.15	0	1	1	0.14	0.6950337666058503	0.2	0.6511627906976745
Region2	Region4	Region2.Region4	2.05	1	4	4	0.84	22.414838973038666	0.19	22.381578947368418
Region3	Region4	Region3.Region4	6.8	6	8	6	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	3.41	2	4	3	0.99	422.6798206344431	0.23	331.4347826086954
Region6	Region4	Region6.Region4	0	0	0	NA	0.23	1.27530314503374	0.24	0.9458874458874459
Region1	Region5	Region1.Region5	0.89	0	1	1	0.64	7.59021002261627	0.11	14.383838383838386
Region2	Region5	Region2.Region5	2.11	2	4	2	0.99	422.6798206344431	0.1	890.9999999999992
Region3	Region5	Region3.Region5	0	0	0	NA	0.06	0.2725208385779777	0.99	6.4474532559639e-4
Region4	Region5	Region4.Region5	1.49	1	3	1	0.95	81.1203696167113	0.21	71.47619047619041
Region6	Region5	Region6.Region5	0	0	0	NA	0.24	1.3482609908594687	0.16	1.657894736842105
Region1	Region6	Region1.Region6	1	1	1	1	0.97	138.04694478633328	0.08	371.83333333333303
Region2	Region6	Region2.Region6	0	0	0	NA	0.17	0.8744744980875673	0.09	2.0709504685408304
Region3	Region6	Region3.Region6	0	0	0	NA	0.09	0.4222575630713721	0.95	0.0052053209947946835
Region4	Region6	Region4.Region6	1.02	1	1	1	0.92	49.09917108379902	0.19	49.02631578947372
Region5	Region6	Region5.Region6	0	0	0	NA	0.17	0.8744744980875673	0.13	1.3707136237256718
