from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	0.12	0	1	2	0.26	1.5000921835238235	0.23	1.1762632197414806
Region3	Region1	Region3.Region1	1.8	0	3	NA	0.85	24.193794447089356	0.95	0.298245614035088
Region4	Region1	Region4.Region1	0.01	0	0	NA	0.24	1.3482609908594687	0.27	0.8538011695906431
Region5	Region1	Region5.Region1	0.02	0	0	NA	0.2	1.067373284430413	0.17	1.2205882352941175
Region6	Region1	Region6.Region1	0.06	0	1	NA	0.37	2.50748009675716	0.21	2.209372637944067
Region1	Region2	Region1.Region2	0.07	0	1	3	0.21	1.1349285555968944	0.16	1.3955696202531642
Region3	Region2	Region3.Region2	0.8	0	1	NA	0.8	17.07797255088661	0.47	4.510638297872342
Region4	Region2	Region4.Region2	0.03	0	0	NA	0.2	1.067373284430413	0.24	0.7916666666666667
Region5	Region2	Region5.Region2	0	0	0	NA	0.12	0.5822036096893161	0.28	0.35064935064935054
Region6	Region2	Region6.Region2	0	0	0	NA	0.25	1.4231643792405504	0.28	0.857142857142857
Region1	Region3	Region1.Region3	0.53	0	3	NA	0.35	2.2989578433885813	0.23	1.8026755852842808
Region2	Region3	Region2.Region3	0.39	0	3	5	0.44	3.354601751067012	0.22	2.7857142857142856
Region4	Region3	Region4.Region3	1.14	1	2	1	0.96	102.46783530531954	0.85	4.235294117647055
Region5	Region3	Region5.Region3	0.07	0	0	NA	0.13	0.637970238969902	0.52	0.13793103448275862
Region6	Region3	Region6.Region3	0	0	0	NA	0.27	1.5791275988833506	0.33	0.7509339975093399
Region1	Region4	Region1.Region4	0	0	0	NA	0.16	0.8132367881374575	0.2	0.761904761904762
Region2	Region4	Region2.Region4	0.02	0	0	NA	0.26	1.5000921835238235	0.23	1.1762632197414806
Region3	Region4	Region3.Region4	2.82	2	4	3	0.97	138.04694478633328	0.99	0.3265993265993266
Region5	Region4	Region5.Region4	2.2	1	3	2	0.99	422.6798206344431	0.3	230.99999999999977
Region6	Region4	Region6.Region4	0	0	0	NA	0.25	1.4231643792405504	0.3	0.7777777777777777
Region1	Region5	Region1.Region5	0.07	0	1	1	0.25	1.4231643792405504	0.18	1.5185185185185186
Region2	Region5	Region2.Region5	0.12	0	1	1	0.29	1.7438774787877167	0.15	2.3145539906103285
Region3	Region5	Region3.Region5	1.93	0	3	NA	0.7	9.962150654683851	0.99	0.023569023569023587
Region4	Region5	Region4.Region5	2.12	1	5	2	0.86	26.226886417432997	0.34	11.924369747899156
Region6	Region5	Region6.Region5	0.02	0	0	1	0.3	1.8297827733092793	0.19	1.8270676691729326
Region1	Region6	Region1.Region6	0.93	0	1	1	0.93	56.7232659725877	0.13	88.91208791208797
Region2	Region6	Region2.Region6	0.01	0	0	NA	0.14	0.6950337666058503	0.13	1.0894454382826475
Region3	Region6	Region3.Region6	0.06	0	1	NA	0.09	0.4222575630713721	0.85	0.017453135100193924
Region4	Region6	Region4.Region6	0.04	0	0	NA	0.18	0.9372058107193868	0.24	0.6951219512195121
Region5	Region6	Region5.Region6	0.96	1	1	1	0.95	81.1203696167113	0.22	67.3636363636363
