from	to	transition	mean	HPDlow	HPDhigh	count	p.standard	BF	p.swap	BFadj
Region2	Region1	Region2.Region1	2.04	0	5	3	0.8	17.07797255088661	0.28	10.285714285714286
Region3	Region1	Region3.Region1	0	0	0	NA	0.08	0.37126027284536095	0.99	8.783487044356616e-4
Region4	Region1	Region4.Region1	0	0	0	NA	0.16	0.8132367881374575	0.44	0.24242424242424246
Region5	Region1	Region5.Region1	0	0	0	NA	0.15	0.7534399654802915	0.38	0.28792569659442724
Region6	Region1	Region6.Region1	0	0	0	NA	0.37	2.50748009675716	0.3	1.3703703703703702
Region1	Region2	Region1.Region2	5.21	3	8	5	0.97	138.04694478633328	0.28	83.14285714285707
Region3	Region2	Region3.Region2	1.02	0	2	1	0.85	24.193794447089356	0.97	0.175257731958763
Region4	Region2	Region4.Region2	0.11	0	1	NA	0.24	1.3482609908594687	0.33	0.6411483253588515
Region5	Region2	Region5.Region2	0	0	0	NA	0.14	0.6950337666058503	0.25	0.48837209302325585
Region6	Region2	Region6.Region2	0	0	0	NA	0.23	1.27530314503374	0.26	0.8501498501498501
Region1	Region3	Region1.Region3	3.03	1	5	2	0.92	49.09917108379902	0.8	2.8750000000000013
Region2	Region3	Region2.Region3	2.43	0	4	4	0.81	18.201523376602836	0.33	8.655502392344498
Region4	Region3	Region4.Region3	0.02	0	0	NA	0.13	0.637970238969902	0.71	0.06103286384976527
Region5	Region3	Region5.Region3	0	0	0	NA	0.1	0.47438812641351685	0.37	0.1891891891891892
Region6	Region3	Region6.Region3	0	0	0	NA	0.24	1.3482609908594687	0.48	0.34210526315789475
Region1	Region4	Region1.Region4	0.24	0	1	NA	0.14	0.6950337666058503	0.37	0.2771841609050911
Region2	Region4	Region2.Region4	1.99	0	3	2	0.84	22.414838973038666	0.27	14.194444444444441
Region3	Region4	Region3.Region4	3.8	3	5	3	0.99	422.6798206344431	0.99	1
Region5	Region4	Region5.Region4	0	0	0	2	0.11	0.5276901630891928	0.28	0.3178170144462279
Region6	Region4	Region6.Region4	0	0	0	NA	0.19	1.0014860446507576	0.25	0.7037037037037037
Region1	Region5	Region1.Region5	1.01	1	1	1	0.75	12.808479413164953	0.3	6.999999999999999
Region2	Region5	Region2.Region5	0	0	0	1	0.16	0.8132367881374575	0.14	1.1700680272108843
Region3	Region5	Region3.Region5	1.01	1	1	1	0.4	2.8463287584811012	0.96	0.027777777777777804
Region4	Region5	Region4.Region5	1.99	2	2	1	0.99	422.6798206344431	0.25	296.9999999999998
Region6	Region5	Region6.Region5	0	0	0	NA	0.2	1.067373284430413	0.25	0.75
Region1	Region6	Region1.Region6	0	0	0	NA	0.08	0.37126027284536095	0.33	0.17654808959156781
Region2	Region6	Region2.Region6	0	0	0	NA	0.07	0.32135969853818885	0.18	0.34289127837514943
Region3	Region6	Region3.Region6	0	0	0	NA	0.07	0.32135969853818885	0.98	0.0015360983102918604
Region4	Region6	Region4.Region6	0.01	0	0	NA	0.08	0.37126027284536095	0.26	0.2474916387959866
Region5	Region6	Region5.Region6	2.04	2	3	2	0.99	422.6798206344431	0.13	662.5384615384609
